,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0
2020-09-23 14:01:00,1.0,1.0,0.5,0.5,0.5,-1.0,0.0,-0.5,-1.5,1.5,0.5,0.5
2020-09-23 14:02:00,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.6666666666666666,0.3333333333333333,-0.6666666666666666,-1.3333333333333333,2.0,0.6666666666666666,0.0
2020-09-23 14:03:00,0.75,0.5,0.75,0.5,1.0,-0.5,0.75,-0.75,-1.25,2.25,0.75,0.0
2020-09-23 14:04:00,0.6,0.2,0.6,0.4,1.4,-0.2,1.0,-0.8,-1.2,2.2,0.6,0.2
2020-09-23 14:05:00,0.5,-0.16666666666666666,0.3333333333333333,0.5,1.6666666666666667,0.16666666666666666,1.0,-0.6666666666666666,-1.3333333333333333,2.0,0.6666666666666666,0.5
2020-09-23 14:06:00,0.5714285714285714,-0.2857142857142857,0.14285714285714285,0.42857142857142855,1.7142857142857142,0.5714285714285714,1.1428571428571428,-0.7142857142857143,-1.4285714285714286,1.7142857142857142,0.8571428571428571,0.5714285714285714
2020-09-23 14:07:00,0.75,-0.375,0.0,0.5,1.75,1.0,1.375,-0.875,-1.625,1.625,0.875,0.75
2020-09-23 14:08:00,0.7777777777777778,-0.5555555555555556,-0.2222222222222222,0.4444444444444444,1.8888888888888888,1.2222222222222223,1.6666666666666667,-1.1111111111111112,-1.7777777777777777,1.5555555555555556,1.0,1.0
2020-09-23 14:09:00,0.8,-0.6,-0.3,0.5,2.1,1.5,1.8,-1.4,-1.9,1.6,1.2,1.3
2020-09-23 14:10:00,0.9090909090909091,-0.7272727272727273,-0.45454545454545453,0.5454545454545454,2.3636363636363638,1.6363636363636365,2.0,-1.5454545454545454,-2.090909090909091,1.6363636363636365,1.4545454545454546,1.5454545454545454
2020-09-23 14:11:00,0.9166666666666666,-0.8333333333333334,-0.5833333333333334,0.6666666666666666,2.5833333333333335,1.8333333333333333,2.25,-1.75,-2.25,1.6666666666666667,1.5833333333333333,1.75
2020-09-23 14:12:00,1.0,-0.8461538461538461,-0.6153846153846154,0.7692307692307693,2.8461538461538463,2.076923076923077,2.5384615384615383,-1.8461538461538463,-2.3846153846153846,1.6153846153846154,1.6923076923076923,1.8461538461538463
2020-09-23 14:13:00,1.0,-0.9285714285714286,-0.5714285714285714,0.9285714285714286,3.0,2.357142857142857,2.857142857142857,-1.9285714285714286,-2.4285714285714284,1.5714285714285714,1.7857142857142858,1.8571428571428572
2020-09-23 14:14:00,1.0666666666666667,-0.9333333333333333,-0.4666666666666667,1.0,3.066666666666667,2.6,3.2,-1.9333333333333333,-2.533333333333333,1.4666666666666666,1.9333333333333333,1.9333333333333333
2020-09-23 14:15:00,1.1875,-0.9375,-0.4375,1.0,3.1875,2.8125,3.5625,-1.9375,-2.6875,1.3125,2.0,1.9375
2020-09-23 14:16:00,1.3529411764705883,-0.8823529411764706,-0.35294117647058826,1.0588235294117647,3.2941176470588234,3.0588235294117645,3.823529411764706,-1.9411764705882353,-2.764705882352941,1.1176470588235294,2.0,2.0
2020-09-23 14:17:00,1.4444444444444444,-0.8888888888888888,-0.2222222222222222,1.1666666666666667,3.388888888888889,3.2777777777777777,4.111111111111111,-1.8888888888888888,-2.8333333333333335,0.9444444444444444,2.0,2.0
2020-09-23 14:18:00,1.5263157894736843,-0.9473684210526315,-0.10526315789473684,1.3157894736842106,3.473684210526316,3.4210526315789473,4.421052631578948,-1.7894736842105263,-2.8947368421052633,0.8421052631578947,1.9473684210526316,1.9473684210526316
2020-09-23 14:19:00,1.65,-0.95,-0.05,1.4,3.5,3.55,4.7,-1.65,-2.95,0.7,1.85,1.9
2020-09-23 14:20:00,1.7619047619047619,-0.9047619047619048,0.047619047619047616,1.5238095238095237,3.4761904761904763,3.6666666666666665,5.0,-1.5714285714285714,-3.0,0.5238095238095238,1.8095238095238095,1.9047619047619047
2020-09-23 14:21:00,1.9090909090909092,-0.8636363636363636,0.18181818181818182,1.5909090909090908,3.5,3.727272727272727,5.2272727272727275,-1.4545454545454546,-3.0,0.3181818181818182,1.8181818181818181,1.9545454545454546
2020-09-23 14:22:00,2.0869565217391304,-0.8260869565217391,0.2608695652173913,1.6521739130434783,3.5217391304347827,3.739130434782609,5.434782608695652,-1.391304347826087,-3.0,0.13043478260869565,1.826086956521739,1.9565217391304348
2020-09-23 14:23:00,2.2916666666666665,-0.8333333333333334,0.3333333333333333,1.7083333333333333,3.5,3.7916666666666665,5.625,-1.2916666666666667,-2.9583333333333335,-0.08333333333333333,1.7916666666666667,1.9583333333333333
2020-09-23 14:24:00,2.44,-0.8,0.44,1.72,3.48,3.84,5.76,-1.16,-2.92,-0.32,1.8,1.92
2020-09-23 14:25:00,2.576923076923077,-0.7307692307692307,0.5384615384615384,1.7692307692307692,3.423076923076923,3.8846153846153846,5.923076923076923,-1.0769230769230769,-2.8461538461538463,-0.5769230769230769,1.7692307692307692,1.8461538461538463
2020-09-23 14:26:00,2.740740740740741,-0.7037037037037037,0.6296296296296297,1.7777777777777777,3.3703703703703702,3.962962962962963,6.074074074074074,-1.0,-2.740740740740741,-0.8518518518518519,1.7407407407407407,1.8148148148148149
2020-09-23 14:27:00,2.9285714285714284,-0.7142857142857143,0.7142857142857143,1.75,3.3214285714285716,4.035714285714286,6.25,-0.9285714285714286,-2.607142857142857,-1.0714285714285714,1.75,1.75
2020-09-23 14:28:00,3.103448275862069,-0.6896551724137931,0.8275862068965517,1.7586206896551724,3.2413793103448274,4.068965517241379,6.448275862068965,-0.8620689655172413,-2.4827586206896552,-1.2758620689655173,1.7586206896551724,1.6551724137931034
2020-09-23 14:29:00,3.2333333333333334,-0.6333333333333333,0.9,1.7666666666666666,3.1666666666666665,4.066666666666666,6.633333333333334,-0.7666666666666667,-2.3333333333333335,-1.4666666666666666,1.7333333333333334,1.5666666666666667
2020-09-23 14:30:00,3.3870967741935485,-0.5806451612903226,0.967741935483871,1.7419354838709677,3.129032258064516,4.032258064516129,6.838709677419355,-0.6451612903225806,-2.193548387096774,-1.6451612903225807,1.7419354838709677,1.4516129032258065
2020-09-23 14:31:00,3.5625,-0.53125,1.0625,1.6875,3.0625,3.96875,7.0,-0.5,-2.0625,-1.8125,1.71875,1.3125
2020-09-23 14:32:00,3.757575757575758,-0.5151515151515151,1.121212121212121,1.6666666666666667,2.9696969696969697,3.9393939393939394,7.121212121212121,-0.3333333333333333,-1.9090909090909092,-1.9393939393939394,1.6666666666666667,1.1515151515151516
