"Calabaza", 17.88, 832
"Zanahoria", 35.31, 540
"Tomate", 768.78, 900
"Apio", 56.92, 351
"Choclo", 57.84, 324
"Apio", 50.06, 255
"Sandia", 56.95, 945
"Acelga", 11.81, 1062
"Mandarina", 18.70, 1080
"Repollo", 7.49, 700
"Repollo", 4.25, 679
"Coliflor", 34.02, 500
"Kiwi", 443.33, 380
"Kinoto", 38.85, 162
"Caqui", 785.49, 99
"Repollo", 6.47, 833
"Apio", 58.18, 279
"TomCherry", 580.74, 168
"Coliflor", 25.79, 470
"Acelga", 23.12, 918
"Zuccini", 90.73, 552
"Rabanito", 225.00, 324
"Papa", 21.13, 1110
"Mandarina", 26.95, 970
"Kiwi", 442.94, 392
"Champignon", 3621.77, 97
"Repollo", 7.82, 791
"Higo", 2490.53, 112
"Naranja", 21.48, 1010
"Champignon", 3601.14, 101
"Ciruela", 949.69, 801
"Naranja", 14.12, 1040
"Cebolla", 51.15, 856
"Durazno", 272.46, 704
"Naranja", 10.55, 1130
"Berenjena", 53.90, 540
"Palta", 491.13, 500
"Durazno", 154.38, 848
"Frutilla", 276.12, 327
"Zuccini", 74.72, 660
"Ajo", 897.65, 114
"Coliflor", 29.61, 420
"Kinoto", 26.07, 224
"Banana", 70.17, 970
"Palta", 1162.28, 348
"Champignon", 3693.37, 89
"Palta", 476.73, 555
"Frambuesa", 2072.09, 113
"Frutilla", 318.97, 249
"Durazno", 187.95, 656
"Champignon", 3654.69, 83
"Morron", 2900.19, 636
"Zanahoria", 29.30, 684
"Alcachofa", 148.44, 240
"Berenjena", 57.32, 696
"Banana", 58.93, 1100
"Palta", 518.66, 555
"Naranja", 6.23, 1010
"Morron", 2952.55, 540
"Cereza", 1047.03, 224
"Frutilla", 283.46, 294
"Naranja", 11.81, 900
"Brocoli", 377.90, 452
"TomCherry", 526.92, 232
"Durazno", 249.01, 760
"Banana", 73.02, 970
"Frutilla", 242.39, 330
"Ciruela", 959.37, 891
"Pepino", 46.45, 585
"Durazno", 287.56, 936
"Acelga", 30.24, 972
"Morron", 3032.38, 630
"Mandarina", 14.27, 920
"Melon", 102.04, 376
"Frutilla", 305.75, 264
"Brocoli", 353.17, 380
"Calabaza", 12.67, 688
"Mandarina", 11.81, 1190
"Brocoli", 337.94, 480
"Cebolla", 75.15, 896
"Tomate", 739.04, 846
"Frambuesa", 1990.12, 106
"Apio", 62.37, 276
"Pomelo", 32.83, 1080
"Higo", 2547.92, 115
"Zanahoria", 28.00, 588
"Frambuesa", 1948.19, 108
"Durazno", 166.58, 752
"Pera", 161.10, 1160
"Batata", 21.71, 1130
"Frambuesa", 2036.30, 85
"Choclo", 58.17, 324
"Pera", 133.21, 920
"Apio", 63.78, 282
"Melon", 105.96, 332
"Banana", 75.91, 940
"Pepino", 36.42, 430
"Batata", 20.07, 950
"Naranja", 14.69, 1120
"Pomelo", 49.56, 810
"Naranja", 14.66, 850
"Durazno", 145.63, 880
"Banana", 63.02, 1050
"Brocoli", 376.16, 460
"Manzana", 132.33, 860
"Uva", 728.37, 243
"Tomate", 753.04, 1035
"Calabaza", 20.89, 688
"Palta", 1157.66, 424
"Lima", 1055.23, 220
"Calabaza", 19.67, 728
"Frutilla", 294.19, 273
"Durazno", 256.43, 880
"Zanahoria", 31.63, 594
"Batata", 20.08, 1190
"Durazno", 169.88, 696
"Batata", 13.32, 950
"Frambuesa", 2081.57, 96
"Champignon", 3631.90, 92
"Palta", 1122.94, 432
"Caqui", 859.15, 98
"Cereza", 1006.74, 176
"Berenjena", 66.77, 588
"Apio", 57.60, 315
"Cereza", 1036.51, 224
"Palta", 492.61, 510
"Mandarina", 13.39, 1030
"Apio", 58.73, 291
"Palta", 451.92, 425
"Cebolla", 58.64, 696
"Alcachofa", 148.09, 279
"Naranja", 15.84, 1100
"Lechuga", 46.86, 819
"Ajo", 899.07, 113
"Lima", 1280.34, 166
"Mandarina", 17.96, 1180
"Sandia", 72.37, 846
"TomCherry", 532.29, 182
"Melon", 105.98, 428
"Mandarina", 21.08, 830
"Mandarina", 14.48, 1180
"Alcachofa", 136.30, 360
"Limon", 344.19, 812
"Frutilla", 299.26, 360
"Frutilla", 264.02, 354
"Acelga", 22.62, 1017
"Melon", 97.99, 324
"Lima", 1099.37, 182
"Mandarina", 8.82, 1020
"Caqui", 856.04, 97
"Kinoto", 29.16, 220
"TomCherry", 549.52, 182
"Esparrago", 634.10, 210
"Naranja", 21.16, 1170
"Kinoto", 34.50, 224
"Pomelo", 54.56, 792
"Lima", 1065.12, 180
"Esparrago", 634.61, 200
"Rabanito", 217.23, 336
"Cebolla", 64.19, 704
"Mandarina", 26.41, 800
"Apio", 55.97, 351
"Durazno", 255.31, 840
"Pera", 144.75, 950
"Caqui", 806.59, 88
"Pomelo", 36.45, 783
"Durazno", 141.70, 808
"Higo", 2456.85, 120
"Acelga", 23.69, 747
"Pepino", 43.68, 600
"Lima", 1359.19, 200
"Champignon", 3622.23, 83
"Alcachofa", 128.59, 243
"Champignon", 3595.92, 119
"Zanahoria", 38.18, 480
"Kiwi", 411.19, 360
"Frambuesa", 2023.44, 96
"Frutilla", 276.76, 291
"Cereza", 1018.09, 228
"Lima", 1404.40, 204
"Higo", 2554.29, 89
"Coliflor", 29.48, 425
"Coliflor", 29.58, 550
"Durazno", 161.31, 920
"Kiwi", 420.21, 384
"Coliflor", 27.07, 435
"Pepino", 37.22, 535
"Lima", 1206.38, 166
"Kiwi", 435.97, 392
"Kiwi", 435.08, 388
"Calabaza", 25.20, 952
"Coliflor", 19.94, 480
"Lima", 1322.65, 236
"Palta", 480.84, 530
"Mandarina", 22.37, 1190
"Ajo", 923.40, 80
"Zuccini", 85.12, 600
"Zuccini", 109.77, 582
"Durazno", 131.62, 648
"Rabanito", 243.69, 357
"Rabanito", 236.47, 255
"Durazno", 155.83, 728
"Uva", 693.95, 297
"Palta", 497.44, 535
"Pomelo", 50.08, 837
"Banana", 87.74, 1030
"Tomate", 800.66, 828
"Palta", 512.78, 490
"Acelga", 20.22, 810
"Zuccini", 84.00, 516
"Durazno", 153.73, 728
"Lima", 1036.86, 190
"Batata", 26.10, 830
"Batata", 19.58, 1130
"Ajo", 932.52, 85
"Limon", 327.04, 756
"Durazno", 294.58, 872
"Kinoto", 26.79, 224
"Acelga", 21.88, 729
"Mandarina", 20.00, 910
"Cereza", 1046.55, 220
"Frambuesa", 2045.86, 105
"Naranja", 14.85, 870
"Calabaza", 17.10, 704
"Calabaza", 27.22, 664
"Durazno", 274.09, 920
"Lima", 1033.62, 168
"Papa", 15.74, 840
"Esparrago", 652.44, 208
"Papa", 20.77, 870
"Batata", 23.75, 900
"Cebolla", 59.19, 736
"Calabaza", 13.59, 936
"Pera", 157.33, 870
"Coliflor", 18.97, 470
"Alcachofa", 163.81, 294
"Banana", 56.17, 880
"Frambuesa", 2009.23, 80
"Kinoto", 27.95, 216
"Repollo", 6.79, 721
"Durazno", 177.87, 704
"Palta", 502.44, 540
"TomCherry", 589.65, 194
"Frutilla", 297.84, 294
"Zanahoria", 32.14, 510
"Pera", 143.00, 840
"Mandarina", 14.77, 1150
"Coliflor", 24.55, 440
"TomCherry", 557.61, 200
"Tomate", 692.23, 963
"Naranja", 7.96, 820
"Banana", 57.74, 1130
"Zuccini", 80.46, 666
"Choclo", 42.99, 258
"Naranja", 18.16, 1130
"Lima", 1242.92, 166
"Uva", 727.58, 240
"Frambuesa", 1931.98, 113
"Limon", 329.28, 630
"Morron", 3005.83, 492
"Manzana", 131.93, 1040
"Brocoli", 344.29, 332
"Morron", 2999.13, 612
"Alcachofa", 137.63, 300
"Melon", 94.59, 464
"Papa", 17.66, 920
"Frambuesa", 2030.56, 120
"Naranja", 15.13, 1000
"Cereza", 1034.85, 166
"Choclo", 63.61, 240
"Kiwi", 443.22, 440
"Choclo", 60.66, 276
"Caqui", 780.23, 80
"Palta", 1153.61, 476
"Cebolla", 69.37, 800
"Rabanito", 248.32, 270
"Frutilla", 284.82, 297
"Melon", 93.29, 348
"Palta", 473.61, 570
"Repollo", 5.23, 826
"Melon", 110.00, 480
"Cebolla", 62.77, 784
"Mandarina", 25.68, 1050
"Palta", 1145.51, 468
"Repollo", 5.39, 644
"Pomelo", 38.68, 846
"Higo", 2472.18, 112
"Tomate", 717.78, 738
"Durazno", 181.20, 768
"Frutilla", 307.56, 297
"Higo", 2410.68, 120
"Palta", 1135.40, 332
"Kiwi", 402.71, 468
"Lima", 1360.64, 224
"Pera", 158.23, 930
"Cereza", 983.17, 164
"Pera", 160.66, 1020
"Tomate", 750.84, 1035
"Palta", 465.59, 545
"Higo", 2397.90, 102
"Durazno", 179.38, 912
"Lima", 1244.47, 234
"Durazno", 112.66, 712
"Caqui", 841.72, 82
"Tomate", 814.61, 864
"Lima", 1041.95, 188
"Coliflor", 30.37, 525
"Durazno", 302.59, 864
"Rabanito", 229.53, 276
"Cereza", 1050.28, 162
"Calabaza", 20.15, 952
"Kiwi", 439.04, 436
"Alcachofa", 161.94, 276
"Berenjena", 55.99, 642
